code,korname,engname
32830,삼성생명보험보통주,Samsung Life Insurance
18260,삼성에스디에스보통주,"SAMSUNG SDS CO., LTD."
28050,삼성엔지니어링보통주,SamsungEngineering
9155,삼성전기1우선주,SamsungElectroMechanics(1P)
9150,삼성전기보통주,SamsungElectroMechanics
5935,삼성전자1우선주,SamsungElectronics(1P)
5930,삼성전자보통주,SamsungElectronics
1360,삼성제약,SAMSUNG PHARMACEUTICAL
10145,삼성중공업1우선주,SamsungHeavyIndustries(1P)
10140,삼성중공업보통주,SamsungHeavyIndustries
16360,삼성증권보통주,SamsungSecurities
68290,삼성출판사보통주,SAMSUNG PUBLISHING
29780,삼성카드 보통주,"SAMSUNG CARD CO., LTD."
815,삼성화재해상보험1우선주,SamsungFire&MarineInsurance(1P)
810,삼성화재해상보험보통주,SamsungFire&MarineInsurance
6110,삼아알미늄보통주,SamaAluminium
145995,삼양사1우선주,Samyang Corporation(1P)
145990,삼양사보통주,Samyang Corporation
3230,삼양식품보통주,SamyangFoods
2170,삼양통상보통주,SamyangTongsang
272550,삼양패키징보통주,SAMYANG PACKAGING
75,삼양홀딩스1우선주,SAMYANGHOLDINGS(1P)
70,삼양홀딩스보통주,SAMYANGHOLDINGS
2810,삼영무역보통주,SamyungTrading
5680,삼영전자공업보통주,SamyoungElectronics
3720,삼영화학공업보통주,SamyoungChemical
23000,삼원강재 보통주,"SAMWONSTEEL Co., Ltd."
4380,삼익THK보통주,SAMICK THK
2450,삼익악기보통주,SamickMusicalInstruments
4440,삼일씨엔에스보통주,SAMIL C&S
520,삼일제약보통주,SamilPharmaceutical
9770,삼정펄프 보통주,"SAM JUNG PULP CO,.LTD."
5500,삼진제약보통주,SamjinPharmaceutical
4690,삼천리보통주,Samchully
10960,삼호개발 보통주,"Samho Development Co., Ltd."
4450,삼화왕관보통주,SamhwaCrown&Closure
9470,삼화전기보통주,SamwhaElectric
11230,삼화전자공업보통주,SamwhaElectronics
1820,삼화콘덴서공업보통주,SamwhaCapacitor
390,삼화페인트공업보통주,SamhwaPaintIndustrial
1290,상상인증권보통주,SANGSANGININVESTMENT&SECURITIES
41650,상신브레이크보통주,SANGSINBRAKE
75180,새론오토모티브,SaeronAutomotiveCorporation
7540,샘표보통주,SEMPIO
248170,샘표식품보통주,SEMPIO FOODS
7860,서연보통주,SEOYON
200880,서연이화보통주,SEOYONEHWA
17390,서울도시가스보통주,SeoulCityGas
4415,서울식품공업1우선주,SeoulFoodInd(1P)
4410,서울식품공업보통주,SeoulFoodInd
21050,서원보통주,Seowon
8490,서흥보통주,SUHEUNG
7610,선도전기보통주,SeondoElectric
2820,선앤엘보통주,SUN&L
136490,선진보통주,"SUNJIN Co., Ltd"
14915,성문전자1우선주,SungmoonElectronics(1P)
14910,성문전자보통주,SungmoonElectronics
3080,성보화학보통주,SungboChemical
4985,성신양회1우선주,SungshinCement(1P)
4980,성신양회보통주,SungshinCement
11300,성안보통주,Seongan
180,성창기업지주보통주,SungchangEnterpriseHoldings
2420,세기상사보통주,TheCentury
4365,세방1우선주,SEBANG(1P)
4360,세방보통주,SEBANG
4490,세방전지보통주,SEBANG GLOBAL BATTERY
1430,세아베스틸보통주,SEAH BESTEEL
306200,세아제강보통주,SeAH Steel Corporation
3030,세아제강지주보통주,SeAH Steel Holdings Corporation
19440,세아특수강보통주,SeAH SPECIAL STEEL
58650,세아홀딩스보통주,SeAHHoldings
13000,세우글로벌보통주,Sewooglobal
91090,세원이앤씨보통주,"SEWON E&C CO.,LTD."
21820,세원정공보통주,SewonPrecisionIndustry
67830,세이브존I&C보통주,SAVEZONEI&C
33530,세종공업보통주,"SEJONG INDUSTRIAL CO., LTD."
75580,세진중공업보통주,"SEJIN HEAVY INDUSTRIES CO., LTD."
27970,세하보통주,seha
145210,세화아이엠씨보통주,"SAEHWA IMC Co.,Ltd."
308170,센트랄모텍보통주,CENTRAL MOTEK
12600,센트럴인사이트보통주,CENTRAL INSIGHT
68270,셀트리온보통주,Celltrion
33637K,솔루스첨단소재1우선주,Solus Advanced Materials(1P)
33637L,솔루스첨단소재2우선주(신형),Solus Advanced Materials(2PB)
336370,솔루스첨단소재보통주,Solus Advanced Materials
248070,솔루엠보통주,SOLUM
4430,송원산업보통주,SongwonIndustrial
17550,수산중공업보통주,SoosanHeavyIndustries
134790,시디즈보통주,"Sidiz,Inc"
16590,신대양제지보통주,ShindaeyangPaper
29530,신도리코보통주,SINDOH
4970,신라교역보통주,Silla
11930,신성이엔지보통주,SHINSUNG E&G
5390,신성통상보통주,ShinsungTongsang
34300,신세계건설,ShinsegaeEngineering&Construction
4170,신세계보통주,"Shinsegae Co.,Ltd"
35510,신세계아이앤씨 보통주,SHINSEGAE INFORMATION & COMMUNICATION Co
31430,신세계인터내셔날보통주,SHINSEGAE INTERNATIONAL
31440,신세계푸드보통주,SHINSEGAE FOOD
6880,신송홀딩스보통주,SINGSONGHOLDINGS
5800,신영와코루보통주,ShinyoungWacoal
1725,신영증권1우선주,ShinyoungSecurities(1P)
1720,신영증권보통주,ShinyoungSecurities
9275,신원1우선주,Shinwon(1P)
9270,신원보통주,Shinwon
2700,신일전자보통주,SHINIL ELECTRONICS
19175,신풍제약1우선주,ShinpoongPharmaceutical(1P)
19170,신풍제약보통주,ShinpoongPharmaceutical
2870,신풍제지보통주,ShinpoongPaperMfg
55550,신한금융지주회사보통주,"ShinhanFinancialGroup Co.,Ltd."
293940,신한알파리츠보통주,Shinhan Alpha REIT
4080,신흥보통주,Shinhung
102280,쌍방울,SBW
3410,쌍용C&E보통주,SSANGYONGC&E
3620,쌍용자동차보통주,SsangyongMotor
4770,써니전자보통주,SunnyElectronics
15540,쎌마테라퓨틱스보통주,THELMA Therapeutics
4920,씨아이테크보통주,CITECH
112610,씨에스윈드보통주,CS Wind Corporation
120,씨제이대한통운보통주,CJ LOGISTICS
79160,씨제이씨지브이 보통주,CJ CGV
97955,씨제이제일제당 주식회사 1우선주,CJ CheilJedang Corp(1P)
97950,씨제이제일제당 주식회사 보통주,CJ CheilJedang Corp
8700,아남전자보통주,AnamElectronics
2795,아모레G1우선주,AmoreG(1P)
00279K,아모레G3우선주(전환),AMOREG(3PC)
2790,아모레G보통주,AmoreG
90435,아모레퍼시픽 1우선주,AMOREPACIFIC CORPORATION(1P)
90430,아모레퍼시픽 보통주,AMOREPACIFIC CORPORATION
2030,아세아보통주,ASIA HOLDINGS
183190,아세아시멘트보통주,ASIACEMENT
2310,아세아제지보통주,AsiaPaperManufacturing
12170,아센디오보통주,Ascendio
267850,아시아나IDT보통주,AsianaIDT
20560,아시아나항공 보통주,Asiana Airlines
122900,아이마켓코리아보통주,iMarketKorea Inc.
10780,아이에스동서보통주,IS DONGSEO
1780,알루코 보통주,"ALUKO CO.,LTD."
18250,애경산업보통주,AEKYUNG INDUSTRIAL
161000,애경유화보통주,Aekyung Petrochemical
11090,에넥스보통주,Enex
137310,에스디바이오센서보통주,SD Biosensor
34120,에스비에스보통주,SEOULBROADCASTINGSYSTEM
5850,에스엘보통주,SLCORPORATION
12750,에스원보통주,S-1
4060,에스지세계물산보통주,SGCORPORATION
6125,에스케이디스커버리1우선주,"SK Discovery Co.,Ltd.(1P)"
6120,에스케이디스커버리보통주,"SK Discovery Co.,Ltd."
68400,에스케이렌터카보통주,SK RENT A CAR
302440,에스케이바이오사이언스보통주,SK BIOSCIENCE
326030,에스케이바이오팜보통주,SK BIOPHARMACEUTICALS
660,에스케이하이닉스보통주,SK hynix
23960,에쓰씨엔지니어링보통주,SC ENGINEERING
298690,에어부산보통주,AirBusan
78520,에이블씨엔씨보통주,ABLE C&C
15260,에이엔피보통주,AUTOMOBILE&PCB
140910,에이자기관리부동산투자회사보통주,A SELF-ADMINISTERED REAL ESTATE INVESTMENT TRUST INC.
39570,에이치디씨아이콘트롤스보통주,"HDC I-CONTROLS CO.,LTD."
89470,에이치디씨현대이피보통주,HDC Hyundai Engineering Plastics
82740,에이치에스디엔진보통주,HSD Engine
11200,에이치엠엠보통주,HMM
7460,에이프로젠메디신보통주,Aprogen Medicines
3060,에이프로젠제약보통주,"Aprogen pharmaceuticals,Inc."
244920,에이플러스에셋보통주,A Plus Asset
36570,엔씨소프트보통주,NCsoftCorporation
138250,엔에스쇼핑보통주,"NS Shopping Co., Ltd"
380440,엔에이치기업인수목적19호보통주,NH SPECIAL PURPOSE ACQUISITION 19 COMPANY
5945,엔에이치투자증권1우선주,NH INVESTMENT & SECURITIES(1P)
5940,엔에이치투자증권보통주,NH INVESTMENT & SECURITIES
85310,엔케이 보통주,NK
9810,엔케이물산보통주,NK MULSAN
900140,엘브이엠씨홀딩스보통주,LVMC Holdings
229640,엘에스전선아시아보통주,LS C&S ASIA
108675,엘엑스하우시스1우선주,"LX HAUSYS, LTD.(1P)"
108670,엘엑스하우시스보통주,"LX HAUSYS, LTD."
38380K,엘엑스홀딩스1우선주,LX HOLDINGS(1P)
383800,엘엑스홀딩스보통주,LX HOLDINGS
37560,엘지헬로비전보통주,LG HelloVision
